Soil	OTU_ID	Direction	baseMean	estimate	stderror	statistic	p.value	p.adjusted
Arbuckle	LN851784.1.1537	Enriched in SG	241.130116747835	-5.43566791017336	1.21297067984576	-4.45884854355622	8.24011187256164e-06	8.48030946560797e-05
Arbuckle	AF041446.1.1481	Enriched in SI	4.14626603426321	6.695705017946	1.61241242997225	3.98247087975935	6.82024835137548e-05	0.000538418363639642
Arbuckle	AY212733.1.1521	Enriched in SG	7.35664343884426	-6.60936651273331	1.40572136148399	-4.67835920231563	2.89179634368965e-06	3.38753285975073e-05
Arbuckle	AVPB01048411.141.1651	Enriched in SI	3.83769401871979	2.64708671241251	1.01687430423363	2.57810924359108	0.00993425859270886	0.0400839449883586
Arbuckle	KF625183.1.1786	Enriched in SI	351.669064498593	8.04997478926206	0.801802557863515	9.96796619381585	2.104949137413e-23	7.6439724390055e-21
Arbuckle	EU262996.1.1535	Enriched in SG	191.214481350795	-8.22485022775515	1.55946291152353	-5.26183703660919	1.42623154156006e-07	2.30922329850042e-06
Arbuckle	JQ845901.1.1449	Enriched in SI	0.939529188389261	4.41751990904864	1.71226469417988	2.50497809758555	0.0122458976359572	0.0477439751389621
Arbuckle	KC541345.1.1525	Enriched in SI	1.17895409401104	4.72569092944814	1.40285235912988	3.30254040110782	0.000958132845297811	0.00546798469775882
Arbuckle	AY568510.1.1487	Enriched in SI	2.71829496798377	4.76511439650725	1.44548172434389	3.14640587282063	0.00165290455350647	0.00879013258371013
Arbuckle	KF071177.1.1375	Enriched in SI	31.8687378597603	8.9563127976278	1.28921503927696	6.72512904887421	1.75436886644984e-11	6.65612784853059e-10
Arbuckle	KC683186.1.1532	Enriched in SG	3.08900641466575	-3.13336968046732	1.25849043353723	-2.48646683434599	0.0129018594874982	0.0495415812948948
Arbuckle	KF682163.1.1437	Enriched in SI	22.3670616266454	4.59641630684645	0.989404760077959	4.57140232781793	4.84471094025929e-06	5.33127931174854e-05
Arbuckle	GU260702.7891.9436	Enriched in SG	10.6369905791261	-6.93233534268153	1.03348613597854	-6.68859564772366	2.25322358210889e-11	8.06717513481803e-10
Arbuckle	HQ397578.1.1508	Enriched in SG	21.4814603158543	-6.2723502100962	1.18540372901692	-5.23614405572372	1.63965994890959e-07	2.53404520396959e-06
Arbuckle	FNIB01000031.49.1586	Enriched in SI	20.4162761575745	5.39395855560926	0.996477206422147	5.23556193178146	1.64483658007467e-07	2.53404520396959e-06
Arbuckle	LMIW01000001.1349490.1351021	Enriched in SI	17.9693279566055	5.94926141968165	1.0957016876221	5.27955851804937	1.29495518221842e-07	2.1101128674354e-06
Arbuckle	GQ249369.1.1498	Enriched in SG	22.5922638625381	-6.5368635590027	1.22787879410739	-5.25049228831125	1.51693255567752e-07	2.39505748852935e-06
Arbuckle	HE815469.1.1528	Enriched in SI	1.98799681995896	3.75233985713594	1.47484171297052	2.56502268095115	0.0103169060851978	0.0413652606759822
Arbuckle	AF443584.1.1387	Enriched in SI	0.86048672733303	4.44073630290795	1.62033205518262	2.66406605661976	0.00772024010350411	0.0324377691621611
Arbuckle	EF659431.1.1556	Enriched in SG	12.1805648694783	-5.61744149570836	1.54815051783398	-3.61809177093287	0.000296783168303449	0.00196101225082201
Arbuckle	AB698039.1.1598	Enriched in SI	16.650127395785	3.59419841181017	1.04602903249649	3.4005623080867	0.000672474081670742	0.00399399326076408
Arbuckle	HM447949.1.1500	Enriched in SI	22.1631632876052	7.57581561762112	1.09225354725788	6.73159975859601	1.6780771836828e-11	6.46313969836619e-10
Arbuckle	KC502951.1.1538	Enriched in SI	16.1414917980142	8.42776183801243	1.09097197514548	7.5324050093994	4.98141631441436e-14	3.0884781149369e-12
Arbuckle	AB076847.1.1523	Enriched in SG	6.54050242513178	-3.37889924784624	0.981664404403988	-3.42028837895458	0.000625547845616758	0.00376811048236445
Arbuckle	KU714901.1.1529	Enriched in SI	184.21876251933	2.88538467200868	0.867042483149524	3.30205188624574	0.000959803137747216	0.00546798469775882
Arbuckle	AJ534639.1.1243	Enriched in SG	2.66829054164342	-3.35484932431512	0.998047767604484	-3.34787750560341	0.000814329961957186	0.0047260885006739
Arbuckle	AJ012069.1.1532	Enriched in SI	3.41097248008668	5.94233348084172	2.01351529826167	2.75851467607812	0.00580646978386481	0.0258948178782182
Arbuckle	CAHF01000002.3754.5264	Enriched in SI	2.71192812101754	3.14343735432238	1.0755729975776	2.89080718715441	0.00384253791438519	0.0180549563370927
